KEY,Russian,English,German,Italian,French,Spanish,Japanese,Korean,Chinesetrad,Chinesesimple,Portuguese
loader_help_fire,Чтобы пожарить мясо разведите костер,Spread the fire to roast meat,Verbreiten Sie das Feuer zu Braten,Stendere il fuoco per arrosti,Étaler le feu pour rôtir la viande,Extender el fuego a la carne asada,ロースト肉に火を広げます,구운 고기에 불을 확산,火勢蔓延到烤肉,火势蔓延到烤肉,Espalhe o fogo para carne assada
loader_help_furnace,В печи можно переплавлять различную руду,The furnace can be remelted different ore,"Der Ofen kann verschiedene ore umgeschmolzen werden,",Il forno può essere rifuso minerale differente,Le four peut être refondu différent du minerai,El horno puede fundirse de mineral de diferente,炉は異なる鉱石を再溶融することができます,노 다른 광석을 재 용융 될 수있다,該爐可以重熔不同的礦石,该炉可以重熔不同的矿石,A fornalha pode ser refundido minério diferente
loader_help_bed,"На кровати вы можете спать по ночам а также назначить её точкой респауна. Если вы будете спать в небезопасном месте на вас могут напасть. Чтобы использовать кровать, разместите её на земле.","On the bed you can sleep at night and assign it a point to respawn. If you sleep in an unsafe place you may be attacked. To use the bed, place it on the ground.","Auf dem Bett kann man nachts nicht schlafen und es einen Punkt zu respawnen zuweisen. Wenn Sie in einem unsicheren Ort schlafen können Sie angegriffen werden. Um das Bett zu verwenden, legen Sie es auf den Boden.","Sul letto si può dormire la notte e assegnare un punto di respawn. Se si dorme in un luogo non sicuro si può essere attaccato. Per utilizzare il letto, posto a terra.","Sur le lit, vous pouvez dormir la nuit et lui attribuer un point de respawn. Si vous dormez dans un endroit dangereux, vous pouvez être attaqué. Pour utiliser le lit, placez-le sur le sol.","En la cama se puede dormir por la noche y asignar un punto para reaparecer. Si duerme en un lugar inseguro puede ser atacado. Para utilizar la cama, colocarlo en el suelo.",ベッドの上であなたは夜寝るし、それを復活するためのポイントを割り当てることができます。あなたは危険な場所で眠る場合は、攻撃されることがあります。ベッドを使用するには、地面の上に置きます。,"침대에 당신은 밤에 잠을 부활하기 위해 그것에게 포인트를 할당 할 수 있습니다. 당신이 안전하지 않은 장소에서 잠을 경우 공격 할 수있다. 침대를 사용하려면, 지상에 배치합니다.",在床上你可以在晚上睡覺並為其分配一個點重生。如果您在不安全的地方睡覺，你可能會被攻擊。床上使用，將其放置在地面上。,在床上你可以在晚上睡觉并为其分配一个点重生。如果您在不安全的地方睡觉，你可能会被攻击。床上使用，将其放置在地面上。,"Na cama você pode dormir à noite e atribuir-lhe um ponto para reaparecer. Se você dormir em um lugar inseguro você pode ser atacado. Para usar a cama, coloque-o no chão."
tutorial_step_1,"Сверху находятся ваши жизненные показатели - здоровье, жажда, голод и энергия.\nСледите за ними чтобы не умереть.","At the top of the screen are your vital signs - health, thirst, hunger and energy.\nWatch out for it not to die.","Am oberen Rand des Bildschirms sind Ihre Vitalfunktionen - Gesundheit, Durst, Hunger und Energie \nWatch out für sie nicht zu sterben..","Nella parte superiore dello schermo sono i segni vitali - la salute, la sete, la fame e l'energia \nWatch fuori per non morire..","En haut de l'écran sont vos signes vitaux - santé, la soif, la faim et de l'énergie \n Prudence: pour elle de ne pas mourir..","En la parte superior de la pantalla son sus signos vitales - la salud, la sed, del hambre y la energía \nWatch hacia fuera para que no muera..",画面の上部にあなたのバイタルサインをしている - 健康、のどの渇き、飢えとエネルギー\nWatchうちはそれは死ぬことはないために。,"화면 상단에서 생체 신호입니다 - 건강, 갈증, 배고픔과 에너지 \nWatch 아웃은 죽을하지 않는..",在屏幕的頂部是你的生命體徵 - 健康，口渴，飢餓和能源\nWatch出它沒有死。,在屏幕的顶部是你的生命体征 - 健康，口渴，饥饿和能源\nWatch出它没有死。,"Na parte superior da tela são os seus sinais vitais - saúde, sede, fome e energia \nwatch para ele não morrer.."
tutorial_step_2,Эта кнопка открывает инвентарь. В инвентарь помещаются все вещи которые вы добываете или создаёте,This button opens the inventory. The inventory are placed all the things that you mined or create,"Diese Schaltfläche öffnet das Inventar. Das Inventar sind all die Dinge gesetzt, die Sie gewonnen oder erstellen",Questo pulsante apre l'inventario. L'inventario è collocato tutte le cose che si minate o creati,Ce bouton ouvre l'inventaire. L'inventaire sont placées toutes les choses que vous créez ou minées,Este botón abre el inventario. El inventario se colocan todas las cosas que le minadas o crear,このボタンは、インベントリを開きます。在庫はあなたが採掘されたすべてのものを置いたり作成されています,이 버튼은 재고가 열립니다. 재고는 채광 또는 만드는 모든 것들을 배치,這個按鈕打開了庫存。庫存放在一切，你開採或創建的事情,这个按钮打开了库存。库存放在一切，你开采或创建的事情,Este botão abre o inventário. O inventário são colocadas todas as coisas que você minadas ou criar
tutorial_step_3,Эта кнопка открывает окно крафта. В данном окне вы сможете создавать и покупать различные вещи которые помогу вам выжить,This button opens the crafting. In this window you can create and buy different things that will help you survive,"Diese Schaltfläche öffnet das Crafting. In diesem Fenster können Sie erstellen und verschiedene Dinge zu kaufen, die Ihnen helfen, zu überleben",Questo pulsante apre la lavorazione. In questa finestra è possibile creare e comprare cose diverse che vi aiuterà a sopravvivere,"Ce bouton ouvre l'artisanat. Dans cette fenêtre, vous pouvez créer et acheter des choses différentes qui vous aideront à survivre",Este botón abre el hacer a mano. En esta ventana puede crear y comprar diferentes cosas que le ayudarán a sobrevivir,このボタンは、クラフトを開きます。このウィンドウでは、あなたが生き残るために役立つものを作成し、購入することができます,이 버튼은 공예를 엽니 다. 이 창에서 작성하고 당신이 살아남을 도움이 될 것입니다 다른 물건을 살 수있다,這個按鈕打開了各具特色。在這個窗口中，您可以創建和買不同的東西，這將幫助你生存,这个按钮打开了各具特色。在这个窗口中，您可以创建和买不同的东西，这将帮助你生存,"Este botão abre a elaboração. Nesta janela, você pode criar e comprar coisas diferentes que irão ajudá-lo a sobreviver"
tutorial_step_4,Это кнопка автоприцеливания. Помогает при охоте на животных,It autoguider button. It helps when hunting animals,"Es autoguider Taste. Es hilft, wenn Tiere bei der Jagd",E 'autoguida pulsante. Aiuta quando la caccia di animali,Il autoguidage bouton. Il aide à la chasse des animaux,Se autoguiador botón. Ayuda cuando la caza de animales,これは、オートガイダーボタン。動物を狩猟ときに役立ちます,그것은 오토 가이더 버튼을 누릅니다. 동물을 사냥 할 때 도움이,它自動導向按鈕。它有助於狩獵動物時,它自动导向按钮。它有助于狩猎动物时,Ele autoguider botão. Ela ajuda quando caça de animais
tutorial_step_5,Удачного выживания!,Good Luck!,Viel Glück!,In bocca al lupo!,Bonne chance!,¡Buena suerte!,がんばろう！,행운을 빕니다!,祝你好運！,祝你好运！,Boa sorte!
niche_name,Ф. Ницше,F. Nietzsche,F. Nietzsche,F. Nietzsche,F. Nietzsche,F. Nietzsche,F.ニーチェ,F. 니체,尼采,尼采,F. Nietzsche
joker_name,Джокер,Joker,Joker,Joker,Joker,Joker,ジョーカー,조커,滑稽角色,滑稽角色,Palhaço
niche_1,То что тебя не убивает делает тебя сильнее.,What does not kill you makes you stronger.,"Was dich nicht tötet, macht dich stärker.",Ciò che non ti uccide ti fortifica.,Ce qui ne vous tue pas vous rend plus fort.,Lo que no te mata te hace más fuerte.,あなたが強くなり何を殺しません。,당신을 죽이지 않는 것은 당신에게 강한 수 있습니다.,沒有能夠殺死你的會使你變得更強大。,没有能够杀死你的会使你变得更强大。,O que não mata engorda.
niche_2,"Если долго вглядываться в бездну, бездна начинает вглядываться в тебя.",When you gaze long into an abyss the abyss also gazes into you.,Wenn Sie lange in einen Abgrund blickst blickt der Abgrund auch in dich hinein.,Quando guardi a lungo in un abisso l'abisso guarda dentro di te.,Lorsque vous regardez longtemps dans un abîme l'abîme regarde aussi en vous.,Cuando se mira de largo en un abismo el abismo también mira dentro de ti.,あなたは奈落の底に長い眺めるとき深淵もまたあなたに見つめ。,당신이 심연으로 긴 시선 때 심연 또한 당신으로 바라본 다.,當你凝視長萬丈深淵深淵也注視著你。,当你凝视长万丈深渊深渊也注视着你。,Quando você olha por muito tempo em um abismo o abismo também olha para dentro de você.
joker_1,То что тебя не убивает делает тебя страннее.,What does not kill you simply makes you stranger.,"Was Sie nicht tötet, macht einfach fremd.",Ciò che non ti uccide ti rende semplicemente sconosciuto.,Qu'est-ce qui ne tue pas vous rend tout simplement inconnu.,Lo que no te mata simplemente te hace extraño.,あなたは単にあなたが見知らぬ人になり何を殺しません。,당신을 죽이지 않는 것은 단순히 당신에게 낯선 사람을 만든다.,那些殺不死你只會讓你變得陌生。,那些杀不死你只会让你变得陌生。,O que não mata te deixa mais estranho.
intro_1,"Я часто шутил, что хочу чтобы после смерти меня похоронили в море. Кто мог подумать что моё желание сбудется так скоро.",I often joked that I wanted to after the death of me was buried at sea. Who would have thought that my wish will come true so soon,"Ich scherzte oft, dass ich nach dem Tod von mir wollte, war auf See bestattet. Wer hätte gedacht, dass mein Wunsch wahr werden so bald","Mi capita spesso scherzato sul fatto che ho voluto, dopo la mia morte fu sepolto in mare. Chi avrebbe mai pensato che il mio desiderio si avvererà così presto",Je me suis souvent plaisanté que je voulais après la mort de moi a été enterré en mer. Qui aurait pensé que mon vœu se réalisera si tôt,A menudo en broma que quería después de la muerte de mí fue enterrado en el mar. ¿Quién habría pensado que mi deseo se hará realidad tan pronto,私は頻繁に私は私の死が海に埋葬された後に望んでいたこと冗談を言いました。誰が私の願いがこんなに早く叶うことを思っただろう,나는 종종 내가 내 죽음이 바다에 매장 된 이후에 원 농담. 누가 내 소원이 이렇게 빨리 이루어질 것이라고 생각했을 것이다,我經常開玩笑說，我想我死了，葬在後海。誰曾想到，我的願望會這麼快就成真,我经常开玩笑说，我想我死了，葬在后海。谁曾想到，我的愿望会这么快就成真,Eu sempre brinquei que eu queria depois da morte de me foi sepultado no mar. Quem teria pensado que o meu desejo se tornará realidade tão cedo
intro_2,"Вот только оказалось что я не умер, а впал в летаргический сон.",But I did not die. I fell into a lethargic sleep.,Aber ich habe nicht sterben. Ich fiel in einen lethargischen Schlaf.,Ma io non sono morto. Sono caduto in un sonno letargico.,Mais je ne suis pas mort. Je suis tombé dans un sommeil léthargique.,Pero no morí. Caí en un sueño letárgico.,しかし、私は死んではいません。私は無気力眠りに落ちました。,그러나 나는 죽지 않았다. 나는 무기력 잠에 빠졌다.,但我沒死。我陷入了昏睡。,但我没死。我陷入了昏睡。,Mas eu não morri. Eu caí em um sono letárgico.
intro_3,Не знаю как долго я плавал в море прежде чем проснуться.,I do not know how long I drifted before I woke up.,"Ich weiß nicht, wie lange ich trieb, bevor ich aufwachte.",Non so quanto tempo ho alla deriva prima che mi sono svegliato.,Je ne sais pas combien de temps je dérivais avant que je me suis réveillé.,No sé cuánto tiempo me quedaba antes de que despertara.,私は目が覚めた前に私が漂っどのくらいか分かりません。,나는 일어났다 전에 나는 표류 얼마나 오래 모르겠어요.,我不知道多久，我漸漸之前，我就醒了。,我不知道多久，我渐渐之前，我就醒了。,Eu não sei quanto tempo eu mergulhei antes de eu acordar.
shovel,Лопата,Shovel,Schaufel,pala,Pelle,Pala,シャベル,삽,鏟,铲,Pá
shovel_descr,Используется для добычи песка и глины с земли,It is used for the mine of sand and clay from ground,"Es wird für die Gewinnung von Sand und Ton verwendet,",Viene utilizzato per l'estrazione di sabbia e argilla,Il est utilisé pour l'extraction de sable et de l'argile,Se utiliza para la extracción de arena y arcilla,これは、砂と粘土の抽出のために使用されます,그것은 모래와 점토의 추출에 사용되는,它用於砂和粘土的提取,它用于砂和粘土的提取,É usado para a extracção de areia e argila
sand_resource,Песок,Sand,Sand,Sabbia,Le sable,Arena,砂,모래,砂,砂,Areia
clay_resource,Глина,Clay,Lehm,Argilla,Argile,Arcilla,粘土,점토,粘土,粘土,Argila
ground_resource,Земля,Black earth,Schwarzerde,terra nera,terre noire,tierra Negro,黒土層,블랙 지구,黑土,黑土,A terra preta
brick,Кирпич,Brick,Ziegel,mattone,Brique,Ladrillo,ブリック,벽돌,磚,砖,Tijolo
brick_descr,Получается путём переплавки глины в печи. Используется для постройки кирпичных зданий,It is obtained by melting the clay oven. Used for the construction of brick buildings,Ziegel,mattone,Brique,Ladrillo,ブリック,벽돌,磚,砖,Ela é obtida por fusão no forno de argila. Usado para a construção de edifícios de tijolos
glass_fragments,Фрагменты стекла,Glass fragments,Glassplitter,frammenti di vetro,Éclats de verre,fragmentos de cristal,ガラスの破片,유리 조각,玻璃碎片,玻璃碎片,fragmentos de vidro
glass_fragments_descr,Получаются путём переплавки песка в печи. Фрагменты стекла,It is obtained by melting the sand oven. Glass fragments,Glassplitter,frammenti di vetro,Éclats de verre,fragmentos de cristal,ガラスの破片,유리 조각,玻璃碎片,玻璃碎片,Ela é obtida por fusão no forno de areia. fragmentos de vidro
brick_ceiling,Кирпичный потолок,Brick Ceiling,Holzdecke,in legno del soffitto,plafond en bois,techo de madera,木製の天井,목조 천장,木製天花板,木制天花板,teto de madeira
brick_ceiling_descr,Устанавливается над первым и остальными этажами здания,Set on the first and the other floors of the building,Auf den Ersten und den Anderen Stockwerken des Gebäudes,Situato al primo e Gli Altri Piani dell'edificio,Situé sur la première et les autres étages du bâtiment,Situado en la primera y los otros pisos del edificio,建物の第一および他の階に設定,제 1 및 건물의 다른 층에 집합,設置在第一和建築物的其它樓層,设置在第一和建筑物的其它楼层,Localizado no primeiro e os outros pisos do edifício
brick_foundation,Кирпичное основание,Brick Foundation,Holz-Stiftung,Fondazione di legno,Fondation en bois,Fundación de madera,木製財団,나무 재단,木製基金會,木制基金会,Fundação de madeira
brick_foundation_descr,Служит основанием для установки остальных конструкций,It serves as the basis for the installation of the remaining structures,Es Dient als Basis für Montage der verbleibenden Strukturen sterben,Essa servire venire di base per l'Installazione delle restanti Strutture,Elle sert de base pour la mise en place des structures restantes,"Además, es la base para la instalación de las estructuras restantes",これは、残りの構造物の設置のための基礎として機能します,그것은 나머지 구조물의 설치를위한 기초 역할,它作為用於安裝的剩餘的結構的基礎,它作为用于安装的剩余的结构的基础,Ele serve como a base para a instalação das estruturas restantes
brick_wall,Кирпичная стена,Brick Wall,Hölzerne Wand,Parete di Legno,mur en bois,Pared de madera,木製の壁,나무 벽,木牆,木墙,parede de madeira
brick_wall_descr,Можно установить только на основание,Can be set only on the foundation,Kann nur Auf dem Fundament Gesetzt Werden,Puo Essere impostato solista Sulla Fondazione,Peut être réglé uniquement sur la base,Puede ajustarse solamente en el fundamento,基盤の上にのみ設定することができます,기초에서만 설정할 수 있습니다,可以的基礎上只設置,可以的基础上只设置,Pode ser definido apenas na fundação
brick_wall_door,Кирпичный дверной проём,Brick Doorway,Hölzerne Tür,Porta in legno,Doorway bois,Umbral de madera,木製の戸口,나무 출입구,門口木,门口木,input Madeira
brick_wall_door_descr,Можно установить только на основание,Can be set only on the foundation,Kann nur Auf dem Fundament Gesetzt Werden,Puo Essere impostato solista Sulla Fondazione,Peut être réglé uniquement sur la base,Puede ajustarse solamente en el fundamento,基盤の上にのみ設定することができます,기초에서만 설정할 수 있습니다,可以的基礎上只設置,可以的基础上只设置,Pode ser definido apenas na fundação
brick_wall_window,Кирпичный оконный проём,Brick Window,Holzfenster,finestra in legno,fenêtre en bois,ventana de madera,木製窓,나무 창,木製窗,木制窗,Indicador de madeira
brick_wall_window_descr,Можно установить только на основание,Can be set only on the foundation,Kann nur Auf dem Fundament Gesetzt Werden,Puo Essere impostato solista Sulla Fondazione,Peut être réglé uniquement sur la base,Puede ajustarse solamente en el fundamento,基盤の上にのみ設定することができます,기초에서만 설정할 수 있습니다,可以的基礎上只設置,可以的基础上只设置,Pode ser definido apenas na fundação
brick_stairs,Кирпичная лестница,Brick Stairs,Holztreppen,Scale di Legno,Escaliers en bois,Escaleras de madera,木の階段,나무 계단,木製樓梯,木制楼梯,Escadas de madeira
brick_stairs_descr,Служит для перемещения между этажами,Use it for moves between floors,Verwenden Sie es für bewegt Sich Zwischen den Etagen,Usalo per spostamenti Tra i Piani,Utilisez-le pour les déplacements entre les étages,Utilizarlo para los movimientos entre los pisos,フロア間の移動のためにそれを使用します,바닥 사이의 이동을 위해 사용,使用它的地板之間移動,使用它的地板之间移动,Use-o Pará se movimento pisos between
glass_ceiling,Стеклянный потолок,Glass Ceiling,Holzdecke,in legno del soffitto,plafond en bois,techo de madera,木製の天井,목조 천장,木製天花板,木制天花板,teto de madeira
glass_ceiling_descr,Устанавливается над первым и остальными этажами здания,Set on the first and the other floors of the building,Auf den Ersten und den Anderen Stockwerken des Gebäudes,Situato al primo e Gli Altri Piani dell'edificio,Situé sur la première et les autres étages du bâtiment,Situado en la primera y los otros pisos del edificio,建物の第一および他の階に設定,제 1 및 건물의 다른 층에 집합,設置在第一和建築物的其它樓層,设置在第一和建筑物的其它楼层,Localizado no primeiro e os outros pisos do edifício
glass_wall,Стеклянная стена,Glass Wall,Hölzerne Wand,Parete di Legno,mur en bois,Pared de madera,木製の壁,나무 벽,木牆,木墙,parede de madeira
glass_wall_descr,Можно установить только на основание,Can be set only on the foundation,Kann nur Auf dem Fundament Gesetzt Werden,Puo Essere impostato solista Sulla Fondazione,Peut être réglé uniquement sur la base,Puede ajustarse solamente en el fundamento,基盤の上にのみ設定することができます,기초에서만 설정할 수 있습니다,可以的基礎上只設置,可以的基础上只设置,Pode ser definido apenas na fundação
wood_street_stairs,Порог,Doorstep,Eingangsstufe,gradino della porta,Seuil de porte,Peldaño,玄関前の階段,문앞,門階,门阶,porta
wood_street_stairs_descr,Устанавливается у основания. Предназначен для более удобного входа в дом,Set at the foundation. Designed for easy entry into the house,Stellen Sie bei der Gründung. Für einen einfachen Einstieg in das Haus,Situato alla base. Progettato per un facile ingresso in casa,Situé à la base. Conçu pour faciliter l'entrée dans la maison,Fijado en la base. Diseñado para facilitar la entrada en la casa,基盤で設定します。家の中に簡単に入力するために設計されました,기초에서 설정합니다. 집에 쉽게 진입을위한 설계,設置的基礎。設計便於進入房子,设置的基础。设计便于进入房子,Situado no fundamento. Projetado para fácil entrada na casa
garden_bed,Грядка,Garden Bed,Gartenbett,letto da giardino,Garden Bed,Cama de jardín,ガーデンベッド,정원 침대,花園床,花园床,Garden Bed
garden_bed_descr,Используется для выращивания семян,"It is used for growing seeds,It is used for growing seeds","Es ist für den Anbau von Samen verwendet wird, wird es für den Anbau von Samen verwendet","E 'utilizzato per la coltivazione di semi, è usato per i semi che crescono","Il est utilisé pour les semences de plus en plus, il est utilisé pour les semences de culture","Se utiliza para las semillas en crecimiento, se utiliza para las semillas en crecimiento",これは、種子を成長させるために使用され、これは、成長種のために使用されます,"그것은 씨앗을 성장에 사용되는, 그것은 성장하는 씨앗에 사용됩니다",它被用於種植種子，它是用於生長的種子,它被用于种植种子，它是用于生长的种子,"É utilizado para o cultivo de sementes, é usado para sementes em crescimento"
plant_description,Выберите семена для посадки,Select seeds for planting,Wählen Sie Samen zum Anpflanzen,Selezionare i semi per la semina,Sélectionnez semences pour les semis,Seleccionar las semillas para la siembra,植栽の種を選択,심기를 선택 씨앗,種植種子選擇,种植种子选择,Seleccione sementes para o plantio
required_amount,Необходимое количество,Required amount,Erforderliche Menge,quantità necessaria,montant requis,Cantidad requerida,必要な量,필요한 양,所需金額,所需金额,quantidade necessária
carrot,Морковь,Carrot,Karotte,Carota,Carotte,Zanahoria,ニンジン,당근,胡蘿蔔,胡萝卜,Cenoura
carrot_withered,Сгнившая морковь,Rotten carrot,Rotten Karotte,carota Rotten,carotte Rotten,zanahoria podrida,腐ったニンジン,썩은 당근,胡蘿蔔爛,胡萝卜烂,cenoura podre
carrot_seed,Семечка моркови,Carrot seed,Karottensamen,semi di carota,graine de carotte,semilla de zanahoria,キャロットシード,당근 씨앗,胡蘿蔔種子,胡萝卜种子,sementes de cenoura
carrot_seed_descr,Используется для выращивания моркови,It is used for growing carrots,Es ist für den Anbau von Karotten verwendet,E 'utilizzato per la coltivazione di carote,Il est utilisé pour pousser des carottes,Se utiliza para el crecimiento de las zanahorias,これは、成長人参のために使用されます,그것은 성장하는 당근에 사용됩니다,它被用於種植胡蘿蔔,它被用于种植胡萝卜,Ele é usado para as cenouras crescimento
corn,Кукуруза,Corn,Mais,Mais,Blé,maiz,トウモロコシ,옥수수,玉米,玉米,milho
corn_withered,Сгнившая кукуруза,Rotten corn,Rotten Mais,mais Rotten,maïs Rotten,maíz podrido,腐ったトウモロコシ,썩은 옥수수,爛穀子,烂谷子,milho podre
popcorn,Попкорн,Popcorn,Popcorn,Popcorn,Pop corn,Palomitas de maiz,ポップコーン,팝콘,爆米花,爆米花,Pipoca
corn_seed,Семечка кукурузы,Corn seed,Maissaatgut,sementi di mais,Les semences de maïs,semillas de maíz,トウモロコシの種子,옥수수 종자,玉米種子,玉米种子,sementes de milho
corn_seed_descr,Используется для выращивания кукурузы,It is used for growing corn,"Es ist für den Anbau von Mais verwendet,",E 'utilizzato per la coltivazione di mais,Il est utilisé pour la culture du maïs,Se utiliza para el cultivo de maíz,これは、成長トウモロコシのために使用されます,그것은 성장하는 옥수수에 사용됩니다,它用於種植玉米,它用于种植玉米,Ele é usado para o cultivo de milho
pumpkin,Тыква,Pumpkin,Kürbis,Zucca,Citrouille,Calabaza,パンプキン,호박,南瓜,南瓜,Abóbora
pumpkin_withered,Сгнившая тыква,Rotten pumpkin,Rotten Kürbis,zucca Rotten,citrouille Rotten,calabaza podrida,腐ったカボチャ,썩은 호박,爛南瓜,烂南瓜,abóbora podre
pumpkin_seed,Семечка тыквы,Pumpkin seed,Kürbissamen,Seme di zucca,Graine de citrouille,Semilla de calabaza,カボチャの種,호박씨,南瓜種子,南瓜种子,Semente de abóbora
pumpkin_seed_descr,Используется для выращивания тыквы,It is used for growing pumpkin,"Es ist für den Anbau von Kürbis verwendet,",E 'utilizzato per la coltivazione della zucca,Il est utilisé pour la citrouille croissante,Se utiliza para el cultivo de calabaza,これは、成長カボチャに使用され,이는 성장에 사용되는 호박,它是用於生長南瓜,它是用于生长南瓜,É usado para a abóbora que cresce
watermelon,Арбуз,Watermelon,Wassermelone,Anguria,Pastèque,Sandía,スイカ,수박,西瓜,西瓜,Melancia
watermelon_withered,Сгнивший арбуз,Rotten watermelon,Rotten Wassermelone,anguria Rotten,pastèque Rotten,sandía podrida,腐ったスイカ,썩은 수박,爛西瓜,烂西瓜,melancia podre
watermelon_seed,Семечка арбуза,Watermelon seed,Wassermelone Samen,semi di anguria,graine de pastèque,semilla de sandía,スイカの種,박 씨,西瓜種子,西瓜种子,semente de melão
watermelon_seed_descr,Используется для выращивания арбуза,It is used for growing watermelon,Es ist für den Anbau von Wassermelone verwendet,E 'utilizzato per la coltivazione di cocomero,Il est utilisé pour la croissance de pastèque,Se utiliza para el cultivo de sandía,これは、成長スイカのために使用されます,이는 성장에 사용되는 박,它是用於生長西瓜,它是用于生长西瓜,Ele é usado para o cultivo de melancia
cabbage,Капуста,Cabbage,Kohl,Cavolo,Chou,Repollo,キャベツ,양배추,捲心菜,卷心菜,Repolho
cabbage_withered,Сгнившая капуста,Rotten cabbage,Rotten Kohl,cavolo marcio,chou Rotten,col podrida,腐ったキャベツ,썩은 양배추,爛白菜,烂白菜,repolho podre
cabbage_seed,Семечка капусты,Cabbage seed,Kohlsamen,di semi di cavolo,graines de chou,semillas de col,キャベツの種子,양배추 씨앗,白菜種子,白菜种子,sementes de repolho
cabbage_seed_descr,Используется для выращивания капусты,It is used for growing cabbage,Es ist für den Anbau von Kohl verwendet,E 'utilizzato per la coltivazione di cavolo,Il est utilisé pour la croissance du chou,Se utiliza para el cultivo de la col,これは、成長キャベツのために使用されます,그것은 성장 양배추에 사용됩니다,它是用於生長捲心菜,它是用于生长卷心菜,Ele é usado para o cultivo de repolho
strawberry,Клубника,Strawberry,Erdbeere,fragola,fraise,fresa,イチゴ,딸기,草莓,草莓,morango
strawberry_withered,Сгнившая клубника,Rotten strawberry,Rotten Erdbeere,fragola Rotten,fraise Rotten,fresa podrida,腐ったイチゴ,썩은 딸기,爛草莓,烂草莓,morango rotten
strawberry_seed,Семечка клубники,Strawberry seed,Strawberry Samen,di semi di fragola,graine de fraise,la semilla de la fresa,イチゴ種子,딸기 씨앗,草莓種子,草莓种子,sementes de morango
strawberry_seed_descr,Используется для выращивания клубники,It is used for growing strawberry,Es ist für den Anbau von Erdbeeren verwendet,E 'utilizzato per la coltivazione di fragole,Il est utilisé pour la fraise de plus en plus,Se utiliza para el cultivo de la fresa,これは、成長イチゴのために使用されます,이는 성장에 사용되는 딸기,它被用於種植草莓,它被用于种植草莓,Ele é usado para o cultivo de morango
harvest,Собрать,Harvest,Ernte,Raccolto,Récolte,Cosecha,収穫,수확,收成,收成,Colheita
plant,Посадить,Plant,Pflanze,pianta,Plante,Planta,工場,식물,廠,厂,Plantar
fishrod,Удочка,Fishrod,Fishrod,Fishrod,Fishrod,Fishrod,Fishrod,Fishrod,Fishrod,Fishrod,Fishrod
fishrod_descr,Используется для ловли рыбы,It is used for fishing,Es ist für die Fischerei,Viene utilizzato per la pesca,Il est utilisé pour la pêche,Se utiliza para la pesca,これは、釣りのために使用されます,이는 낚시에 사용,它是用於釣魚,它是用于钓鱼,Ele é usado para a pesca
manure,Навоз,Manure,Düngen,Letame,Fumier,Estiércol,肥料,비료,肥料,肥料,Estrume
loader_help_garden_bed,Если долго не собирать созревший урожай с грядки он пропадёт,If you do not remove from the garden harvest ripened for a long time it will deteriorate,Wenn Sie nicht aus dem Garten Ernte für eine lange Zeit gereift zu entfernen wird es sich verschlechtern,Se non si rimuove dalla raccolta giardino maturo per lungo tempo si deteriora,"Si vous ne retirez pas de la récolte de jardin mûri pendant une longue période, il va se détériorer",Si no se retiran de la cosecha de jardín madurado durante mucho tiempo se deteriorará,あなたが長い間熟成庭の収穫から削除しないとそれが劣化します,장시간 숙성 정원 수확에서 제거하지 않으면이 저하됩니다,如果不從花園收穫成熟的很長一段時間將其刪除將惡化,如果不从花园收获成熟的很长一段时间将其删除将恶化,Se você não remover a partir da colheita jardim amadurecido por um longo tempo ele irá deteriorar-se
confrim_exit_game,Вы уверены что хотите выйте из игры?,Are you sure you want to exit game?,"Sind Sie sicher, dass Sie Spiel zu beenden?",Sei sicuro di voler uscire gioco?,Êtes-vous sûr de vouloir quitter jeu?,¿Está seguro de que desea salir del juego?,あなたがゲームを終了してもよろしいですか？,당신은 게임을 종료 하시겠습니까?,你確定要退出遊戲？,你确定要退出游戏？,Tem certeza de que deseja sair do jogo?
connect,Подключиться,Connect
invite_friends,Пригласить друзей,Invite Friends
to_cloud,Сохранить в облако,Save to Cloud
from_cloud,Загрузить из облака,Load from Cloud
barrel,Бочка,Barrel
barrel_descr,"Используется для добычи воды. Поставьте бочку на открытом пространстве и во время дождя она будет наполняться водой","It is used for water production. Place the barrel on the open space and in the rain, it will be filled with water"
drink,Пить,Drink
place_only_wall,"Можно размещать только на стенах вашего дома","It may only be placed on the walls of your home"
torch_on_wall,"Настенный факел","Wall torch"
torch_on_wall_descr,"Служит для освещения помещений. Можно устанавливать только на стены построенного вами дома.","It used to illuminate the premises. You can set only on the walls of the house you built."
picture,Картина,Picture
wall_place_descr,"Можно устанавливать только на стены построенного вами дома","You can set only on the walls of the house you built"
crossbow,Арбалет,Crossbow
crossbow_descr,"Используется для атаки противника с дальнего расстояния. Наносит сильный урон и имеет высокую прочность","Used to attack the enemy from a distance. It inflicts heavy damage and has a high strength"
crossbow_arrow,Арбалетная стрела,Crossbow arrow
crossbow_arrow_descr,Используется для стрельбы из арбалета,Used for firing a crossbow
no_arrows,Нет стрел,No arrows
free,Бесплатно,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
loader_help_picture,"Купив картины в магазине вы можете разместить их на стены вашего дома и сделать ваш уголок ещё более уютным","Having bought the painting in a store, you can place them on the walls of your home and make your home even more comfortable"
loader_help_barrel,"Разместите бочку на открытом пространстве и во время дождя она будет наполняться водой","Place the barrel on the open space and in the rain, it will be filled with water"
